Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
EMR,EMERSON ELECTRIC,Equity,0.31,55.07,"255,203.00","14,054,029.21","14,054,029.21",Industrials,"2,313,405.00",US2910111044,New York Stock Exchange Inc.
FDX,FEDEX CORP,Equity,0.37,165.7,"101,713.00","16,853,844.10","16,853,844.10",Industrials,"2,142,784.00",US31428X1063,New York Stock Exchange Inc.
GD,GENERAL DYNAMICS CORP,Equity,0.34,133.57,"116,073.00","15,503,870.61","15,503,870.61",Industrials,"2,365,161.00",US3695501086,New York Stock Exchange Inc.
GE,GENERAL ELECTRIC,Equity,2.5,31.02,"3,701,426.00","114,818,234.52","114,818,234.52",Industrials,"2,380,498.00",US3696041033,New York Stock Exchange Inc.
HON,HONEYWELL INTERNATIONAL INC,Equity,0.76,114.52,"305,285.00","34,961,238.20","34,961,238.20",Industrials,"2,020,459.00",US4385161066,New York Stock Exchange Inc.
LMT,LOCKHEED MARTIN CORP,Equity,0.51,225.44,"104,260.00","23,504,374.40","23,504,374.40",Industrials,"2,522,096.00",US5398301094,New York Stock Exchange Inc.
MMM,3M CO,Equity,0.88,168.16,"240,094.00","40,374,207.04","40,374,207.04",Industrials,"2,595,708.00",US88579Y1010,New York Stock Exchange Inc.
RTN,RAYTHEON,Equity,0.32,125.15,"118,649.00","14,848,922.35","14,848,922.35",Industrials,"2,758,051.00",US7551115071,New York Stock Exchange Inc.
UNP,UNION PACIFIC CORP,Equity,0.6,82.32,"335,875.00","27,649,230.00","27,649,230.00",Industrials,"2,914,734.00",US9078181081,New York Stock Exchange Inc.
UPS,UNITED PARCEL SERVICE INC CLASS B,Equity,0.63,105.08,"273,882.00","28,779,520.56","28,779,520.56",Industrials,"2,517,382.00",US9113121068,New York Stock Exchange Inc.
UTX,UNITED TECHNOLOGIES CORP,Equity,0.7,104.68,"308,687.00","32,313,355.16","32,313,355.16",Industrials,"2,915,500.00",US9130171096,New York Stock Exchange Inc.
AAPL,APPLE INC,Equity,5.38,112.1,"2,199,626.00","246,578,074.60","246,578,074.60",Information Technology,"2,046,251.00",US0378331005,NASDAQ
ACN,ACCENTURE PLC,Equity,0.62,114.75,"249,173.00","28,592,601.75","28,592,601.75",Information Technology,B4BNMY3,IE00B4BNMY34,New York Stock Exchange Inc.
CSCO,CISCO SYSTEMS INC,Equity,1.23,28.25,"1,995,501.00","56,372,903.25","56,372,903.25",Information Technology,"2,198,163.00",US17275R1023,NASDAQ
EMC,EMC CORP,Equity,0.43,25.63,"772,642.00","19,802,814.46","19,802,814.46",Information Technology,"2,295,172.00",US2686481027,New York Stock Exchange Inc.
FB,FACEBOOK CLASS A INC,Equity,2.2,110.84,"910,357.00","100,903,969.88","100,903,969.88",Information Technology,B7TL820,US30303M1027,NASDAQ
IBM,INTERNATIONAL BUSINESS MACHINES CO,Equity,1.16,151.16,"350,539.00","52,987,475.24","52,987,475.24",Information Technology,"2,005,973.00",US4592001014,New York Stock Exchange Inc.
INTC,INTEL CORPORATION CORP,Equity,1.3,31.8,"1,873,403.00","59,574,215.40","59,574,215.40",Information Technology,"2,463,247.00",US4581401001,NASDAQ
MA,MASTERCARD INC CLASS A,Equity,0.82,96.17,"389,110.00","37,420,708.70","37,420,708.70",Information Technology,B121557,US57636Q1040,New York Stock Exchange Inc.
MSFT,MICROSOFT CORP,Equity,3.79,55.36,"3,137,784.00","173,707,722.24","173,707,722.24",Information Technology,"2,588,173.00",US5949181045,NASDAQ
ORCL,ORACLE CORP,Equity,1.12,41.24,"1,249,410.00","51,525,668.40","51,525,668.40",Information Technology,"2,661,568.00",US68389X1054,New York Stock Exchange Inc.
QCOM,QUALCOMM INC,Equity,0.67,51.82,"593,211.00","30,740,194.02","30,740,194.02",Information Technology,"2,714,923.00",US7475251036,NASDAQ
TXN,TEXAS INSTRUMENTS INCORPORATED,Equity,0.52,59.22,"398,918.00","23,623,923.96","23,623,923.96",Information Technology,"2,885,409.00",US8825081040,NASDAQ
V,VISA INC CLASS A,Equity,1.33,80.33,"761,046.00","61,134,825.18","61,134,825.18",Information Technology,B2PZN04,US92826C8394,New York Stock Exchange Inc.
DD,E I DU PONT DE NEMOURS,Equity,0.49,65.18,"345,903.00","22,545,957.54","22,545,957.54",Materials,"2,018,175.00",US2635341090,New York Stock Exchange Inc.
DOW,DOW CHEMICAL,Equity,0.51,52.36,"443,303.00","23,211,345.08","23,211,345.08",Materials,"2,278,719.00",US2605431038,New York Stock Exchange Inc.
MON,MONSANTO,Equity,0.34,88.95,"174,739.00","15,543,034.05","15,543,034.05",Materials,"2,654,320.00",US61166W1018,New York Stock Exchange Inc.
T,AT&T INC,Equity,2.04,38.42,"2,439,979.00","93,743,993.18","93,743,993.18",Telecommunications,"2,831,811.00",US00206R1023,New York Stock Exchange Inc.
VZ,VERIZON COMMUNICATIONS INC,Equity,1.81,51.36,"1,615,888.00","82,992,007.68","82,992,007.68",Telecommunications,"2,090,571.00",US92343V1044,New York Stock Exchange Inc.
DUK,DUKE ENERGY CORP,Equity,0.47,79.45,"273,158.00","21,702,403.10","21,702,403.10",Utilities,B7VD3F2,US26441C2044,New York Stock Exchange Inc.
EXC,EXELON CORP,Equity,0.28,34.94,"364,996.00","12,752,960.24","12,752,960.24",Utilities,"2,670,519.00",US30161N1019,New York Stock Exchange Inc.
NEE,NEXTERA ENERGY INC,Equity,0.46,116.15,"182,766.00","21,228,270.90","21,228,270.90",Utilities,"2,328,915.00",US65339F1012,New York Stock Exchange Inc.
SO,SOUTHERN,Equity,0.4,50.45,"362,244.00","18,275,209.80","18,275,209.80",Utilities,"2,829,601.00",US8425871071,New York Stock Exchange Inc.
